date,product_id,product_name,product_category,order_date,availability_date,supplier_id,supplier_name,supplier_location,supplier_reliability,quantity_ordered,quantity_available,demand_forecast
2024-11-30,136,LG UltraGear Monitor,electronics,2024-04-17,2024-04-30,2,ElectroMart,Japan,0.86,1830,1023,470
2023-03-15,123,Apple iMac 24-inch,electronics,2023-09-18,2024-08-26,6,ElectroMart,UK,0.75,886,566,952
2024-10-12,41,Google Nest Audio,electronics,2023-09-19,2024-12-08,9,PremiumElectronics,USA,0.72,1058,1226,544
2024-06-30,135,LG UltraGear Monitor,electronics,2023-01-10,2024-10-30,7,PremiumElectronics,UK,0.77,1279,157,260
2023-09-08,72,Apple Magic Mouse 2,electronics,2024-04-21,2024-10-22,5,SmartGadgets Co.,Brazil,0.82,1085,121,1301
2023-06-17,12,Samsung QLED TV,electronics,2023-10-22,2024-10-11,5,HighTech Solutions,India,0.79,539,572,728
2024-01-24,48,Sony WH-1000XM4 Black,electronics,2024-07-13,2024-10-14,3,Innovative Devices,USA,0.92,742,1018,994
2023-10-04,62,HP Omen 15,electronics,2023-06-11,2023-11-30,7,PremiumElectronics,Canada,0.79,291,476,589
2024-10-17,37,Bose QuietComfort Earbuds II,electronics,2023-03-17,2023-06-14,6,DeviceWorld,Canada,0.87,1289,419,1116
2024-12-05,99,Google Nest Hub Max,electronics,2024-03-28,2024-04-05,2,HighTech Solutions,USA,0.84,1324,701,426
2024-12-02,101,Samsung Galaxy S22 Ultra,electronics,2023-11-03,2024-04-07,2,Innovative Devices,Germany,0.92,266,1183,388
2023-11-29,131,Apple iMac 24-inch,electronics,2024-10-16,2024-10-18,2,DeviceWorld,UK,0.76,1379,1113,692
2023-02-02,103,Sony FE 70-200mm F2.8 GM,electronics,2023-09-14,2024-09-07,4,Innovative Devices,Brazil,0.88,1112,316,672
2024-02-15,137,LG UltraWide Monitor,electronics,2023-11-06,2024-01-06,6,DeviceWorld,USA,0.85,1257,807,127
2023-10-02,15,Fitbit Sense,electronics,2023-07-23,2024-06-13,1,ElectroMart,UK,0.88,544,374,1053
2024-08-03,124,Sennheiser HD 660S,electronics,2023-04-20,2024-04-27,10,TechSource Inc.,South Korea,0.73,968,719,522
2023-11-19,63,JBL PartyBox 310,electronics,2023-08-31,2024-04-17,3,GlobalElectro Ltd.,UK,0.72,1501,1306,1721
2024-05-26,96,Sonos Beam,electronics,2024-01-03,2024-01-23,4,PremiumElectronics,USA,0.91,200,1012,1733
2023-09-29,71,Apple HomePod Mini,electronics,2023-01-23,2024-10-01,1,TechSource Inc.,South Korea,0.91,1409,1209,1700
2023-09-10,28,Acer Predator Helios 300,electronics,2024-02-10,2024-06-13,8,HighTech Solutions,Brazil,0.88,941,912,952
2024-07-28,66,ASUS ROG Strix Scar 17,electronics,2023-10-09,2024-02-08,5,PremiumElectronics,South Korea,0.81,424,292,1640
2024-07-05,45,Samsung Galaxy Buds2,electronics,2023-01-09,2024-04-28,2,PremiumElectronics,Germany,0.73,1081,1133,1637
2023-09-27,62,Apple TV 4K,electronics,2024-08-02,2024-08-27,6,GadgetPro,UK,0.98,1414,429,121
2024-03-14,28,ASUS ROG Strix Scar 17,electronics,2023-02-20,2023-02-22,2,FutureTech,India,0.99,1064,638,1180
2024-02-13,108,Oculus Rift S,electronics,2024-05-23,2024-08-18,9,GadgetPro,Brazil,0.76,718,814,941
2024-01-06,44,Sony A6400,electronics,2023-10-21,2024-11-08,7,GlobalElectro Ltd.,Germany,0.86,1425,130,197
2024-06-05,75,Canon RF 50mm F1.2L,electronics,2023-12-27,2024-09-21,8,GadgetPro,UK,0.94,1568,849,736
2024-05-20,128,Razer Kraken V3,electronics,2023-08-13,2024-05-12,4,FutureTech,South Korea,0.9,135,1274,1802
2023-06-06,27,Sony RX100 VII,electronics,2023-09-14,2024-04-16,9,ElectroMart,Germany,0.85,360,451,1417
2024-03-08,103,Sony FE 70-200mm F2.8 GM,electronics,2023-05-21,2024-06-10,10,ElectroMart,India,0.71,1487,512,1827
2024-09-02,137,Sony A7S III,electronics,2024-10-05,2024-11-02,3,ElectroMart,USA,0.91,163,548,342
2023-03-07,62,JBL PartyBox 310,electronics,2023-04-10,2023-07-06,3,FutureTech,China,0.98,1218,184,1954
2024-09-02,118,Samsung Galaxy Tab S8,electronics,2023-02-10,2024-04-03,2,HighTech Solutions,China,0.97,352,484,131
2024-04-24,96,Sony RX100 VII,electronics,2023-11-13,2024-04-04,10,HighTech Solutions,UK,0.71,793,627,490
2024-06-25,113,Samsung Galaxy A53,electronics,2024-03-27,2024-06-30,6,GlobalElectro Ltd.,India,0.91,1954,539,376
2023-09-15,62,LG OLED GX Series,electronics,2023-02-04,2024-06-29,5,ElectroMart,USA,0.79,637,1236,631
2024-07-20,52,Panasonic Lumix GH5,electronics,2024-08-16,2024-09-26,6,SmartGadgets Co.,Brazil,0.98,1036,415,1277
2024-11-27,39,TCL 6-Series TV,electronics,2023-05-15,2024-01-18,5,GlobalElectro Ltd.,Canada,0.98,394,275,1191
2023-04-28,130,Lenovo Legion 5 Pro,electronics,2023-04-03,2024-01-27,9,PremiumElectronics,Canada,0.84,863,771,983
2024-07-03,113,Bose Soundbar 700,electronics,2023-12-01,2024-02-11,2,SmartGadgets Co.,China,0.95,1074,679,1778
2023-10-01,101,Bose QuietComfort Earbuds,electronics,2024-03-01,2024-03-04,1,Innovative Devices,India,0.8,1220,1476,475
2024-10-18,113,Lenovo ThinkPad X1 Carbon,electronics,2023-06-29,2023-12-23,10,GlobalElectro Ltd.,Canada,0.95,1360,930,843
2023-12-15,81,HP Omen 15,electronics,2023-07-25,2024-12-06,9,TechSource Inc.,UK,0.71,1727,94,312
2023-04-25,113,Apple AirPods Max,electronics,2023-05-16,2024-09-14,10,PremiumElectronics,India,0.88,1126,1066,178
2024-03-21,130,Canon EOS 90D,electronics,2024-01-10,2024-10-18,9,DeviceWorld,India,0.74,1142,271,727
2023-06-11,54,Apple Watch Series 8,electronics,2024-06-27,2024-11-03,6,FutureTech,USA,0.72,410,522,703
2023-09-27,126,NVIDIA Shield TV Pro,electronics,2023-06-18,2023-12-14,10,ElectroMart,India,0.92,1059,202,1100
2023-07-02,53,Google Nest Audio,electronics,2024-05-08,2024-08-04,1,ElectroMart,China,0.79,624,193,157
2024-06-03,68,NVIDIA Shield TV Pro,electronics,2023-10-30,2024-12-05,8,SmartGadgets Co.,Japan,0.86,1658,494,1919
2023-04-19,123,Samsung Galaxy A53,electronics,2023-12-13,2024-02-10,1,Innovative Devices,India,0.94,1234,1024,1149
2024-10-02,38,Canon RF 50mm F1.2L,electronics,2023-04-28,2023-10-28,3,GadgetPro,Canada,0.8,1754,526,980
2024-10-16,69,Sony A6400,electronics,2023-03-19,2024-11-13,8,GadgetPro,South Korea,0.97,737,424,165
2024-06-03,116,ASUS ROG Phone 5,electronics,2023-05-25,2024-09-19,6,GadgetPro,India,0.88,830,732,1883
2024-01-18,70,Jabra Elite 85t,electronics,2024-02-11,2024-08-29,2,GlobalElectro Ltd.,South Korea,0.71,1232,539,1677
2023-06-15,93,JBL Charge 5,electronics,2024-07-24,2024-11-20,10,FutureTech,Japan,0.96,538,575,1111
2024-06-27,90,Samsung Galaxy Buds Pro,electronics,2023-04-03,2024-01-04,3,GadgetPro,USA,0.98,1397,623,873
2024-09-05,52,Samsung Galaxy Tab S8,electronics,2023-01-15,2024-11-12,3,SmartGadgets Co.,Brazil,1.0,1454,1280,1559
2023-11-28,128,Apple iMac 24-inch,electronics,2023-09-28,2024-12-26,7,DeviceWorld,USA,0.81,1175,1489,1914
2024-05-15,39,LG Gram 17,electronics,2024-07-03,2024-11-19,2,ElectroMart,UK,0.93,543,1475,700
2023-01-20,82,Apple MacBook Air M2,electronics,2023-05-07,2024-02-16,10,TechSource Inc.,Japan,0.82,1717,583,478
2024-01-07,129,Razer Huntsman Elite,electronics,2024-01-13,2024-09-11,3,PremiumElectronics,China,0.89,68,583,1550
2023-03-01,99,Epson EcoTank ET-2760,electronics,2023-09-26,2024-08-05,7,GadgetPro,India,0.93,1667,134,878
2024-08-03,90,Jabra Elite 75t,electronics,2024-01-26,2024-10-30,10,HighTech Solutions,USA,0.83,1050,46,367
2024-05-12,113,Panasonic Lumix GH5,electronics,2023-04-21,2024-11-27,1,FutureTech,Canada,0.73,1438,454,607
2023-03-12,2,Epson EcoTank ET-2760,electronics,2024-11-22,2024-12-30,7,Innovative Devices,India,0.81,1404,158,575
2024-06-29,129,Huawei Watch GT 3,electronics,2023-08-28,2024-12-12,6,PremiumElectronics,Germany,0.79,1714,1183,1420
2023-05-09,48,Sony ZV-E10,electronics,2024-04-27,2024-07-03,10,ElectroMart,USA,0.79,1417,601,263
2023-05-12,37,Huawei MatePad Pro,electronics,2023-01-26,2023-04-16,9,FutureTech,Brazil,0.77,871,58,584
2024-11-06,9,Bose QuietComfort Earbuds,electronics,2024-09-26,2024-11-02,1,ElectroMart,UK,0.71,504,1150,1720
2024-05-01,99,Sony ZV-E10,electronics,2024-07-28,2024-11-27,4,TechSource Inc.,Canada,0.71,1674,1063,1195
2024-07-16,48,Samsung Galaxy Z Fold 4,electronics,2023-12-02,2024-03-19,9,FutureTech,Canada,1.0,774,271,666
2023-09-29,54,Sony X900H TV,electronics,2023-08-15,2024-01-16,10,DeviceWorld,Brazil,0.82,1138,818,658
2024-09-13,116,Xiaomi Mi Band 7,electronics,2023-03-06,2024-01-17,9,SmartGadgets Co.,India,0.77,760,744,1227
2024-12-07,84,LG OLED TV,electronics,2023-11-06,2023-12-26,2,GlobalElectro Ltd.,Canada,0.83,877,755,567
2023-11-16,93,HP Omen 15,electronics,2023-04-30,2023-08-30,1,GadgetPro,UK,0.84,1490,108,485
2024-02-13,128,Razer BlackWidow V3,electronics,2023-05-24,2023-05-31,3,HighTech Solutions,USA,0.88,354,985,874
2024-11-18,110,Samsung Galaxy Buds Pro,electronics,2023-02-16,2023-06-18,10,PremiumElectronics,Brazil,0.75,785,885,947
2024-10-27,82,Sony WH-1000XM4 Black,electronics,2023-02-08,2023-03-31,9,DeviceWorld,Japan,1.0,1570,1226,486
2024-01-18,54,ASUS TUF Gaming A15,electronics,2023-11-08,2023-11-09,5,DeviceWorld,Japan,0.77,340,496,976
2024-06-13,33,Sony A6400,electronics,2023-04-29,2024-06-13,4,Innovative Devices,Germany,0.89,1340,1469,382
2024-04-07,21,Samsung M7 Smart Monitor,electronics,2023-04-10,2024-07-16,10,GlobalElectro Ltd.,USA,0.88,916,969,1749
2023-05-04,48,Huawei MatePad Pro,electronics,2023-08-29,2024-07-03,2,FutureTech,Germany,0.85,1017,478,1998
2023-08-19,136,Sony WH-1000XM4 Wireless Headphones,electronics,2023-05-19,2024-11-18,6,ElectroMart,UK,0.75,1023,130,585
2023-12-13,128,Apple HomePod Mini,electronics,2024-04-09,2024-10-04,9,ElectroMart,Germany,0.76,1011,874,319
2023-01-08,51,Jabra Elite 75t,electronics,2023-06-08,2024-12-20,7,TechSource Inc.,USA,1.0,865,693,787
2023-03-14,8,Logitech G502 Hero,electronics,2024-02-29,2024-10-11,4,TechSource Inc.,South Korea,0.75,1523,1070,1742
2024-10-08,27,Bose QuietComfort 35 II,electronics,2023-04-12,2024-04-03,7,Innovative Devices,India,0.93,1997,306,359
2023-02-02,28,Sony A9 II,electronics,2023-10-14,2024-12-03,3,GadgetPro,India,0.77,714,465,1881
2023-12-05,111,Xiaomi Mi Band 7,electronics,2023-02-03,2023-09-11,8,Innovative Devices,UK,0.77,61,428,1910
2024-06-10,48,Canon RF 50mm F1.2L,electronics,2024-01-15,2024-09-27,4,HighTech Solutions,USA,0.88,353,1444,748
2023-09-01,4,Samsung Galaxy A53,electronics,2023-08-11,2023-10-29,8,Innovative Devices,USA,0.87,1366,528,1647
2023-10-13,35,Samsung Galaxy Tab S8,electronics,2024-03-30,2024-04-14,6,ElectroMart,Canada,0.73,1024,569,913
2024-05-12,17,NVIDIA Shield TV Pro,electronics,2023-08-30,2024-07-10,4,ElectroMart,Japan,0.78,1813,471,1252
2024-07-06,117,Sony FE 70-200mm F2.8 GM,electronics,2023-04-12,2023-11-23,6,FutureTech,USA,0.97,92,802,1232
2024-04-29,37,ASUS TUF Gaming A15,electronics,2024-10-22,2024-12-05,6,ElectroMart,South Korea,0.9,1887,1373,368
2023-09-06,24,Bose Noise Cancelling Headphones 700,electronics,2024-01-03,2024-08-17,3,HighTech Solutions,USA,0.87,547,167,1285
2024-04-29,93,LG UltraWide Monitor,electronics,2023-03-04,2024-04-06,9,HighTech Solutions,USA,0.73,413,1021,1383
2024-02-21,46,Sony WH-1000XM4 Headphones,electronics,2024-02-12,2024-04-27,2,HighTech Solutions,UK,0.82,940,397,1023
2023-07-14,95,Razer Naga X,electronics,2023-10-10,2023-10-26,8,GadgetPro,Brazil,0.81,476,1273,1225
2023-04-07,99,NVIDIA GeForce RTX 3080,electronics,2023-07-14,2024-02-06,10,DeviceWorld,UK,0.78,1054,1390,1629
2023-04-10,116,Lenovo ThinkPad X1 Carbon,electronics,2023-05-06,2024-06-08,3,PremiumElectronics,Brazil,0.92,70,1276,1858
2024-11-05,67,Razer Huntsman Elite,electronics,2024-04-10,2024-07-04,5,GadgetPro,USA,0.85,456,389,1694
2024-03-17,128,Samsung Galaxy Buds2,electronics,2023-04-04,2024-03-14,6,TechSource Inc.,UK,0.72,668,950,346
2024-11-20,104,Canon EOS R6 Camera,electronics,2023-01-22,2023-03-05,1,PremiumElectronics,Germany,0.84,448,1435,452
2024-10-31,24,Sennheiser Momentum 3,electronics,2023-02-21,2024-10-28,4,TechSource Inc.,India,0.88,842,865,295
2024-10-23,114,Acer ConceptD 7,electronics,2023-12-08,2024-05-17,1,DeviceWorld,India,0.95,1877,198,1916
2023-04-11,32,Sony A7S III,electronics,2023-09-07,2024-01-26,1,GadgetPro,Canada,0.8,764,246,1029
2023-03-04,86,LG OLED GX Series,electronics,2023-05-09,2024-07-31,10,PremiumElectronics,UK,0.9,100,407,1789
2023-12-14,130,Apple Magic Keyboard,electronics,2023-07-30,2024-06-22,5,DeviceWorld,USA,0.78,373,219,1121
2023-04-22,17,Razer BlackWidow V3,electronics,2023-03-12,2023-05-18,4,SmartGadgets Co.,Brazil,0.96,838,796,744
2024-07-03,39,Microsoft Surface Studio 2,electronics,2023-08-10,2023-10-17,2,Innovative Devices,South Korea,0.96,1875,799,1600
2024-04-04,26,Apple TV 4K,electronics,2023-08-27,2024-04-15,8,HighTech Solutions,Japan,0.91,1407,403,364
2023-05-24,99,Lenovo Yoga 9i,electronics,2023-12-03,2024-06-19,10,DeviceWorld,Canada,0.95,1966,810,1495
2024-03-08,50,Google Nest Audio,electronics,2023-06-01,2023-06-10,5,FutureTech,India,0.91,1013,189,1609
2023-10-13,60,Apple Magic Keyboard,electronics,2023-01-03,2023-04-14,10,SmartGadgets Co.,Brazil,0.89,422,1341,745
2023-09-13,57,LG NanoCell TV,electronics,2023-05-29,2024-04-16,8,DeviceWorld,USA,0.75,543,921,1695
2023-03-19,36,Beats Studio3 Wireless,electronics,2023-05-14,2024-01-03,2,GlobalElectro Ltd.,China,0.96,1612,1279,1500
2024-07-17,65,Microsoft Surface Book 3,electronics,2023-09-14,2024-03-10,1,TechSource Inc.,South Korea,0.71,800,551,1573
2023-02-21,115,Samsung Galaxy Note 20 Ultra,electronics,2023-04-23,2024-02-20,9,ElectroMart,UK,0.74,340,302,1487
2024-07-07,98,JBL Flip 6,electronics,2023-01-27,2024-01-28,9,Innovative Devices,USA,0.92,1217,1455,556
2023-01-16,66,HP Envy 14,electronics,2023-05-15,2023-09-09,8,FutureTech,USA,0.75,155,212,824
2023-04-06,32,Microsoft Xbox Series S,electronics,2023-01-16,2024-02-10,6,SmartGadgets Co.,Germany,0.95,1493,517,1851
2023-06-20,51,Sony RX0 II,electronics,2023-09-01,2024-01-29,3,HighTech Solutions,Japan,0.85,1731,153,1081
2024-05-07,58,JBL Flip 6,electronics,2023-01-17,2023-12-03,2,TechSource Inc.,Canada,0.89,693,443,575
2024-02-15,86,Samsung Galaxy Watch 4,electronics,2023-09-29,2024-11-06,8,HighTech Solutions,UK,0.89,1418,1341,1085
2023-03-02,49,Sony WH-1000XM4 Wireless Headphones,electronics,2023-02-23,2023-12-20,9,SmartGadgets Co.,USA,0.78,399,1488,1400
2023-06-18,70,Fitbit Versa 3,electronics,2023-05-10,2023-06-09,2,HighTech Solutions,India,0.89,1532,715,255
2024-02-04,101,Lenovo Legion 5 Pro,electronics,2023-04-27,2023-10-31,1,HighTech Solutions,Japan,0.73,1181,151,289
2023-09-29,8,TCL 6-Series TV,electronics,2023-03-07,2024-05-08,8,FutureTech,Brazil,0.93,1659,1275,1540
2024-04-10,53,LG UltraWide Monitor,electronics,2024-05-02,2024-12-23,6,ElectroMart,USA,0.86,1112,68,1080
2024-03-09,108,Jabra Elite 85t,electronics,2024-01-06,2024-05-05,9,GadgetPro,Brazil,0.8,208,809,1815
2024-07-23,103,TCL 6-Series TV,electronics,2024-08-30,2024-10-02,3,ElectroMart,Canada,0.98,1008,972,140
2023-07-14,94,Google Pixel 6 Pro,electronics,2023-08-15,2023-09-30,3,DeviceWorld,USA,0.72,347,690,1437
2023-08-11,99,Razer Kraken V3,electronics,2023-02-14,2023-06-13,4,SmartGadgets Co.,Canada,0.91,85,1413,1052
2024-08-16,52,ASUS TUF Gaming A15,electronics,2024-06-17,2024-09-25,10,PremiumElectronics,South Korea,0.87,1525,676,1299
2024-07-09,13,Roku Ultra,electronics,2023-11-05,2024-07-04,9,HighTech Solutions,China,0.8,1959,692,995
2023-02-28,106,Razer Kraken V3,electronics,2023-02-01,2023-11-02,8,PremiumElectronics,Canada,0.96,1458,285,936
2023-02-21,120,Epson EcoTank ET-2760,electronics,2023-03-04,2023-09-11,7,PremiumElectronics,India,0.99,1245,627,719
2023-06-11,90,Jabra Elite 85t,electronics,2023-04-21,2024-03-15,7,ElectroMart,South Korea,0.71,940,889,1030
2023-02-28,117,Anker PowerCore 10000,electronics,2024-05-17,2024-10-26,1,HighTech Solutions,Germany,0.71,190,799,388
2023-03-24,23,Dell G5 15 Gaming Laptop,electronics,2024-03-30,2024-04-23,1,PremiumElectronics,UK,0.85,1991,242,992
2023-03-12,137,Apple iMac 24-inch,electronics,2023-03-24,2023-05-04,7,DeviceWorld,USA,0.9,1350,465,1189
2024-09-01,129,Beats Studio3 Wireless,electronics,2023-11-26,2024-06-05,2,HighTech Solutions,China,0.83,775,312,582
2024-11-22,122,Dyson V11 Torque Drive,electronics,2023-06-01,2024-07-12,8,FutureTech,India,1.0,1978,117,347
2024-02-18,34,Canon RF 50mm F1.2L,electronics,2023-05-10,2024-10-19,3,Innovative Devices,USA,0.84,570,490,1170
2023-05-03,96,Sony A9 II,electronics,2023-10-09,2024-06-21,7,PremiumElectronics,Canada,0.75,1856,307,553
2023-03-25,16,Apple iPad Mini,electronics,2024-01-26,2024-10-01,8,GadgetPro,Japan,0.78,633,52,954
2024-08-20,93,Sonos Beam,electronics,2023-10-29,2024-08-17,1,HighTech Solutions,USA,0.83,1122,137,1702
2023-11-20,29,ASUS ZenBook 14,electronics,2024-09-11,2024-11-21,4,PremiumElectronics,South Korea,0.89,1366,1181,1938
2023-09-25,69,Fitbit Charge 5,electronics,2024-03-16,2024-11-25,6,Innovative Devices,Germany,0.82,1653,1282,1929
2023-11-18,85,Samsung Galaxy Buds2,electronics,2023-04-28,2024-01-15,5,DeviceWorld,China,0.82,580,391,632
2024-02-10,33,Razer Viper Ultimate,electronics,2024-07-18,2024-07-21,4,TechSource Inc.,India,0.76,1240,1314,1752
2023-05-15,101,Sony PlayStation 5,electronics,2023-08-09,2024-06-13,6,HighTech Solutions,China,0.71,1275,544,1048
2024-11-18,23,LG NanoCell TV,electronics,2024-03-16,2024-06-13,2,SmartGadgets Co.,China,0.9,906,478,1425
2024-10-22,10,Philips Hue Smart Bulbs,electronics,2024-04-07,2024-07-31,10,SmartGadgets Co.,Brazil,0.81,195,1157,1777
2023-11-20,34,Asus ROG Strix,electronics,2023-12-14,2024-05-06,1,FutureTech,Germany,0.99,1042,502,650
2023-01-10,96,Microsoft Surface Laptop 4,electronics,2024-02-13,2024-10-22,6,GadgetPro,USA,0.96,291,1458,1990
2024-09-28,69,Microsoft Surface Studio 2,electronics,2023-04-08,2024-01-28,8,Innovative Devices,China,0.93,736,260,944
2023-03-17,24,Anker PowerCore 10000,electronics,2023-11-17,2024-01-11,8,Innovative Devices,Brazil,0.89,1181,966,1238
2023-08-07,2,Acer Nitro 5,electronics,2023-09-19,2023-12-30,4,GadgetPro,USA,0.71,722,1066,745
2023-09-29,84,HP Spectre x360,electronics,2023-06-06,2024-11-13,3,SmartGadgets Co.,China,0.88,710,529,318
2023-03-12,101,Philips Hue Smart Bulbs,electronics,2023-03-10,2024-08-28,4,PremiumElectronics,Germany,0.74,854,263,1726
2023-09-08,12,Fitbit Sense,electronics,2023-04-04,2023-12-17,10,TechSource Inc.,South Korea,0.74,1728,631,1477
2024-01-14,67,Sony A7 III Camera,electronics,2023-03-29,2023-05-27,5,GlobalElectro Ltd.,Japan,0.91,468,343,987
2024-03-24,43,LG OLED GX Series,electronics,2023-04-09,2024-07-23,8,HighTech Solutions,UK,0.85,1233,238,241
2024-12-21,29,Bose SoundTouch 20,electronics,2023-05-14,2024-10-30,6,Innovative Devices,China,0.87,699,1471,600
2024-09-18,95,Fitbit Sense,electronics,2023-03-03,2024-12-12,7,Innovative Devices,China,0.94,639,1430,801
2024-06-25,130,LG OLED TV,electronics,2024-07-29,2024-12-23,10,FutureTech,UK,0.84,558,616,1782
2024-11-14,81,Bose QuietComfort 35 II,electronics,2023-12-04,2024-10-18,2,Innovative Devices,Canada,0.72,1327,1123,1969
2023-11-03,8,Bose QuietComfort Earbuds,electronics,2023-05-06,2023-05-29,1,TechSource Inc.,USA,0.84,819,1154,695
2023-04-17,90,Samsung Galaxy Watch 4,electronics,2023-12-29,2024-04-23,4,PremiumElectronics,USA,0.79,1876,161,523
2023-04-29,135,LG OLED TV,electronics,2023-02-22,2023-08-05,8,GlobalElectro Ltd.,South Korea,0.93,1731,1073,253
2023-10-16,21,Bose Noise Cancelling Headphones 700,electronics,2023-04-17,2023-11-24,10,HighTech Solutions,UK,1.0,1240,851,1745
2023-12-18,99,Samsung M7 Smart Monitor,electronics,2023-08-06,2024-07-20,3,HighTech Solutions,Germany,0.89,1048,231,1549
2023-07-28,36,Sennheiser Momentum 3,electronics,2023-06-08,2024-05-09,8,GadgetPro,Germany,0.91,1353,67,1398
2023-09-28,12,Samsung Galaxy Buds2,electronics,2023-08-18,2024-11-03,7,GlobalElectro Ltd.,Brazil,0.8,1604,1110,1079
